month,meter_name,estimated_kwh,usage_kwh,difference_kwh,status
2024-07,MTR-A,19964.73630639908,19964.73630639908,0.0,PASS
2024-07,MTR-B,15686.57852645642,15686.578526456418,1.8189894035458565e-12,PASS
2024-07,MTR-C,11372.732138586589,11372.732138586589,0.0,PASS
2024-07,MTR-D,10085.253028557918,10085.253028557918,0.0,PASS
2024-08,MTR-A,11850.125017484,11850.125017484002,-1.8189894035458565e-12,PASS
2024-08,MTR-B,9310.812513737428,9310.81251373743,-1.8189894035458565e-12,PASS
2024-08,MTR-C,5600.203908452643,5600.203908452642,9.094947017729282e-13,PASS
2024-08,MTR-D,4966.218560325929,4966.218560325928,9.094947017729282e-13,PASS
2024-09,MTR-A,9081.551576561098,9081.551576561098,0.0,PASS
2024-09,MTR-B,7135.504810155148,7135.504810155148,0.0,PASS
2024-09,MTR-C,3094.4811150403907,3094.48111504039,9.094947017729282e-13,PASS
2024-09,MTR-D,2744.162498243365,2744.1624982433646,4.547473508864641e-13,PASS
2024-10,MTR-A,1323.721937648274,1323.721937648274,0.0,PASS
2024-10,MTR-B,1040.0672367236436,1040.0672367236436,0.0,PASS
2024-10,MTR-C,143.03683758288378,143.03683758288378,0.0,PASS
2024-10,MTR-D,126.8439880451988,126.8439880451988,0.0,PASS
2024-11,MTR-A,22267.831059624168,22267.83105962417,-3.637978807091713e-12,PASS
2024-11,MTR-B,17496.152975418987,17496.15297541899,-3.637978807091713e-12,PASS
2024-11,MTR-C,5720.430961427122,5720.430961427123,-9.094947017729282e-13,PASS
2024-11,MTR-D,5072.835003529712,5072.835003529713,-9.094947017729282e-13,PASS
2024-12,MTR-A,13059.053674359702,13059.053674359704,-1.8189894035458565e-12,PASS
2024-12,MTR-B,10260.68502985405,10260.685029854052,-1.8189894035458565e-12,PASS
2024-12,MTR-C,4849.516586766707,4849.516586766708,-9.094947017729282e-13,PASS
2024-12,MTR-D,4300.514709019533,4300.514709019534,-9.094947017729282e-13,PASS
2025-01,MTR-A,9093.372105978902,9093.372105978902,0.0,PASS
2025-01,MTR-B,7144.792368983423,7144.792368983423,0.0,PASS
2025-01,MTR-C,2832.805228269969,2832.805228269969,0.0,PASS
2025-01,MTR-D,2512.110296767708,2512.110296767708,0.0,PASS
2025-02,MTR-A,10129.20228076049,10129.202280760492,-1.8189894035458565e-12,PASS
2025-02,MTR-B,7958.658934883242,7958.658934883243,-9.094947017729282e-13,PASS
2025-02,MTR-C,3301.7774557088233,3301.7774557088223,9.094947017729282e-13,PASS
2025-02,MTR-D,2927.9913286474466,2927.9913286474457,9.094947017729282e-13,PASS
2025-03,MTR-A,10890.824993636425,10890.824993636425,0.0,PASS
2025-03,MTR-B,8557.076780714333,8557.076780714333,0.0,PASS
2025-03,MTR-C,3710.9795595940996,3710.9795595940986,9.094947017729282e-13,PASS
2025-03,MTR-D,3290.868666055145,3290.868666055144,9.094947017729282e-13,PASS
2025-04,MTR-A,10292.859823708168,10292.85982370817,-1.8189894035458565e-12,PASS
2025-04,MTR-B,8087.247004342132,8087.247004342133,-9.094947017729282e-13,PASS
2025-04,MTR-C,3355.12428113334,3355.1242811333395,4.547473508864641e-13,PASS
2025-04,MTR-D,2975.2988908163575,2975.298890816357,4.547473508864641e-13,PASS
2025-05,MTR-A,10523.239865763995,10523.239865763995,0.0,PASS
2025-05,MTR-B,8268.259894528852,8268.259894528852,0.0,PASS
2025-05,MTR-C,4420.7831270447905,4420.783127044791,-9.094947017729282e-13,PASS
2025-05,MTR-D,3920.317112662361,3920.317112662362,-9.094947017729282e-13,PASS
2025-06,MTR-A,8953.686158075694,8953.686158075696,-1.8189894035458565e-12,PASS
2025-06,MTR-B,7035.03912420233,7035.039124202332,-1.8189894035458565e-12,PASS
2025-06,MTR-C,4738.9021003926455,4738.9021003926455,0.0,PASS
2025-06,MTR-D,4202.422617329327,4202.422617329327,0.0,PASS
