month,usage_kwh,estimated_cost_cny,eui_kwh_m2
2024-07,57109.3,30724.803400000004,9.164968240773135
2024-08,31727.36,17069.31968,5.091644386528567
2024-09,22055.7,11865.966600000002,3.5395249114946257
2024-10,2633.67,1416.9144600000002,0.42265448721446386
2024-11,50557.25,27199.8005,8.113487480862618
2024-12,32469.77,17468.73626,5.210787224413682
2025-01,21583.08,11611.697040000001,3.4636782929937127
2025-02,24317.63,13082.884940000002,3.902522122331599
2025-03,26449.75,14229.9655,4.244687270311301
2025-04,24710.53,13294.26514,3.9655751806215753
2025-05,27132.6,14597.3388,4.354271848711175
2025-06,24930.05,13412.3669,4.00080401074582
